ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±ÕÃÖ°í±â¿Â(¡ÆC),Æò±ÕÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â ³ªÅ¸³­³¯(yyyymmdd),ÃÖÀú±â¿Â ³ªÅ¸³­³¯(yyyymmdd),Æò±Õ¼öÁõ±â¾Ð(hPa),ÃÖ°í¼öÁõ±â¾Ð(hPa),ÃÖÀú¼öÁõ±â¾Ð(hPa),ÃÖ°í¼öÁõ±â¾Ð ³ªÅ¸³­³¯(yyyymmdd),ÃÖÀú¼öÁõ±â¾Ð ³ªÅ¸³­³¯(yyyymmdd),Æò±ÕÀÌ½½Á¡¿Âµµ(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),ÃÖ¼Ò»ó´ë½Àµµ(%),ÃÖ¼Ò»ó´ë½Àµµ ³ªÅ¸³­³¯(yyyymmdd),¿ùÇÕ°­¼ö·®(00~24h¸¸)(mm),ÀÏÃÖ´Ù°­¼ö·®(mm),1½Ã°£ÃÖ´Ù°­¼ö·®(mm),10ºÐÃÖ´Ù°­¼ö·®(mm),ÀÏÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),1½Ã°£ÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),10ºÐÃÖ´Ù°­¼ö·® ³ªÅ¸³­³¯(yyyymmdd),Æò±ÕÇ³¼Ó(m/s),ÃÖ´ëÇ³¼Ó(m/s),ÃÖ´ë¼ø°£Ç³¼Ó(m/s),ÃÖ´ëÇ³¼Ó Ç³Çâ(16¹æÀ§),ÃÖ´ë¼ø°£Ç³¼Ó Ç³Çâ(16¹æÀ§),ÃÖ´ëÇ³¼Ó ³ªÅ¸³­³¯(yyyymmdd),ÃÖ´ë¼ø°£Ç³¼Ó ³ªÅ¸³­³¯(yyyymmdd),ÃÖ´ÙÇ³Çâ(16¹æÀ§),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÀÏÁ¶À²(%),ÇÕ°è ÀÏ»ç·®(MJ/m2),ÃÖ½ÉÀû¼³(cm),ÃÖ½É½ÅÀû¼³(cm),3½Ã°£½ÅÀû¼³ÇÕ(cm),ÃÖ½ÉÀû¼³ ³ªÅ¸³­³¯(yyyymmdd),ÃÖ½É½ÅÀû¼³ ³ªÅ¸³­³¯(yyyymmdd)
121,¿µ¿ù,2024-07,25,29.4,22,32.9,19.8,20240727,20240706,25.9,33,16.6,20240726,20240713,21.6,83,39,20240713,495.3,82.6,41.1,19.7,20240724,20240724,20240712,.9,8.4,13.3,140,200,20240710,20240712,270,134.7,30.09,,,,,,
121,¿µ¿ù,2024-08,26.8,33.1,22.4,36.6,18,20240819,20240828,26.4,33.6,18.3,20240821,20240813,21.9,78,32,20240813,58.6,35.6,25.1,11,20240827,20240827,20240827,1,5.9,8.6,90,140,20240805,20240817,90,239.4,56.97,,,,,,
121,¿µ¿ù,2024-09,23.1,29,19,35,10.9,20240911,20240924,22,30.6,11.3,20240914,20240930,18.6,78,31,20240904,177.4,66.5,38.2,10.1,20240921,20240918,20240918,1,6.1,11.5,70,90,20240920,20240928,90,178,47.8,,,,,,
121,¿µ¿ù,2024-10,14.6,20.6,10.5,23.9,6,20241009,20241031,13.4,20.5,6.6,20241019,20241002,11,82,28,20241002,120.5,69.4,16.9,4.9,20241018,20241018,20241018,.8,6.2,12.3,270,90,20241023,20241020,270,135.6,38.95,,,,,,
121,¿µ¿ù,2024-11,8.3,15,2.8,23.6,-4.9,20241102,20241129,8.1,15.7,2.2,20241116,20241106,3.2,74,15,20241106,31.2,17.4,,,20241126,,,.9,7.6,13.8,110,270,20241125,20241126,270,168.6,55.1,,,,,,
121,¿µ¿ù,2024-12,-.5,4.8,-5.5,12.9,-12.2,20241202,20241223,3.5,9.8,1.3,20241202,20241228,-8.3,59,16,20241206,2.1,1.5,,,20241221,,,1.2,5.4,10,270,270,20241217,20241205,270,203.7,68.04,,,,,,
121,¿µ¿ù,2025-01,-2.7,3,-7.8,11,-17.3,20250125,20250110,3.3,6.4,.8,20250114,20250109,-9.1,65,15,20250124,15.2,4.6,,,20250127,,,1,7,12.3,270,270,20250109,20250109,270,183.3,59.42,,,,3.4,,
121,¿µ¿ù,2025-02,-2.7,3.3,-9.2,13.3,-17.3,20250228,20250208,2.7,6.6,.9,20250201,20250207,-11.9,54,8,20250227,6.8,2.9,,,20250207,,,1.4,6.8,14.1,290,290,20250203,20250207,270,245.9,81.02,,,,,,
121,¿µ¿ù,2025-03,6.1,13.1,-.2,26.6,-6.1,20250326,20250330,5.1,15.5,.3,20250327,20250326,-3.1,57,8,20250326,49.1,28.8,,,20250303,,,1.5,8.2,16.3,90,250,20250303,20250325,270,186.9,52.08,74.41,,,,,
121,¿µ¿ù,2025-04,12.5,20.8,4.6,28.1,-2.8,20250430,20250401,8.1,18.4,3,20250419,20250402,2.9,59,12,20250412,65.7,25.1,4,1.6,20250422,20250422,20250405,1.7,8.2,20.6,230,270,20250413,20250413,250,237.2,60.05,597.47,,,,,
121,¿µ¿ù,2025-05,16,23.3,9.5,33.3,2.5,20250521,20250505,12.5,25.6,3.7,20250521,20250504,9.6,70,16,20250504,103.3,22.1,9.3,3.3,20250516,20250528,20250529,1.4,7.9,14.5,110,230,20250509,20250504,270,150.6,39.47,458.2,,,,,
121,¿µ¿ù,2025-06,22.4,28.9,16.6,34.3,8.7,20250619,20250604,20,31.3,8.6,20250628,20250604,17.1,75,23,20250601,138.6,55,11.3,5.3,20250621,20250621,20250616,1.1,7.4,15.4,270,270,20250603,20250604,270,165.3,41.69,530.43,,,,,
121,¿µ¿ù,2025-07,26.3,32.6,21.6,37.7,17.1,20250729,20250712,26.1,35,16.1,20250707,20250710,21.6,79,30,20250710,149,63.5,11.2,6.6,20250717,20250717,20250708,1.2,5.9,10.1,110,140,20250708,20250708,270,211.5,47.24,627.28,,,,,
121,¿µ¿ù,2025-08,26.2,32.2,21.9,37.2,17.5,20250801,20250810,27.1,33,19.1,20250804,20250810,22.3,82,33,20250801,80.3,39.5,13.6,8.4,20250813,20250813,20250813,1.1,5.5,9.1,110,270,20250812,20250813,270,177.5,42.23,549.52,,,,,
121,¿µ¿ù,2025-09,21.4,27.3,17.4,33.5,12.5,20250903,20250922,21.5,31.9,14.1,20250901,20250922,18.4,85,36,20250911,234.2,63.5,21.8,14.4,20250920,20250920,20250916,1.1,7.3,14.7,250,180,20250916,20250916,270,107.6,28.87,382.23,,,,,
121,¿µ¿ù,2025-10,14.9,20.5,11.1,27.1,-2,20251008,20251028,14.8,23.2,2.9,20251005,20251027,11.9,84,20,20251027,146.3,30.5,12,3.5,20251013,20251017,20251017,1.1,7,11.7,270,90,20251027,20251014,90,104.1,29.86,293.07,,,,,
121,¿µ¿ù,2025-11,6,13.7,-.1,19.9,-6.8,20251107,20251119,6.4,12.5,1.5,20251108,20251117,-.2,69,13,20251117,12.8,7.5,,,20251125,,,1.2,7.6,13.1,270,290,20251102,20251102,270,193,63.01,318.15,,,,,
121,¿µ¿ù,2025-12,-.6,5,-5.7,13.1,-12.9,20251207,20251227,4.2,10.9,.9,20251220,20251231,-6.3,69,12,20251208,20.5,6.7,,,20251211,,,1.4,8.6,15.1,270,270,20251203,20251203,270,153.8,51.37,244.94,,,,,
127,ÃæÁÖ,2016-01,-3.2,2.2,-8.1,11.4,-17,20160103,20160125,3,7.6,.5,20160103,20160123,-11,58,13,20160123,1.8,.6,,,20160118,,,1.5,7.9,13.2,270,270,20160118,20160118,270,164.1,53.19,,,,,,
127,ÃæÁÖ,2016-02,-.1,6,-5.7,16.9,-13.4,20160213,20160202,3.6,15.4,1.1,20160213,20160202,-8.9,56,12,20160210,50.1,17.1,,,20160228,,,1.7,7.3,12.8,250,270,20160208,20160208,270,176.3,56.09,,,,,,
127,ÃæÁÖ,2016-03,6.4,13.3,-.2,21,-12.4,20160331,20160301,4.8,14,1.4,20160305,20160310,-4.5,51,7,20160317,11.9,10.1,,,20160305,,,1.4,6.4,10.2,270,320,20160329,20160321,90,182.2,49.06,,,,,,
127,ÃæÁÖ,2016-04,14.1,21.7,7.3,29.9,1.8,20160426,20160401,8.1,14.8,2.2,20160421,20160406,3.3,54,7,20160406,97.3,19.6,6.3,1.7,20160421,20160417,20160417,1.7,8.1,17.2,230,250,20160417,20160417,90,189,47.85,,,,,,
127,ÃæÁÖ,2016-05,18.8,26.6,11.2,32,6.2,20160519,20160517,11.1,18.2,4.5,20160524,20160504,8,55,12,20160522,70,18.6,5.1,1.6,20160510,20160524,20160524,1.8,9.9,16.1,270,290,20160504,20160504,90,248.4,56.57,,,,,,
127,ÃæÁÖ,2016-06,23.3,29.3,17.9,32.5,11.7,20160623,20160602,17,24.6,7.7,20160612,20160602,14.7,61,20,20160602,38.9,25.4,5.8,4.8,20160624,20160615,20160615,1.6,6.3,10.2,270,290,20160625,20160625,90,215.5,48.97,,,,,,
127,ÃæÁÖ,2016-07,25.7,30.5,22,34,18.8,20160731,20160719,23.9,31.7,16.6,20160730,20160710,20.3,74,32,20160710,374.4,121.9,43.1,16.4,20160704,20160705,20160705,1.4,6,9.9,90,50,20160714,20160714,110,154.8,34.63,,,,,,
127,ÃæÁÖ,2016-08,26.8,32.6,22,36.7,13.8,20160820,20160827,23,30.2,13.1,20160814,20160827,19.5,67,24,20160824,44,17.7,15.3,7.2,20160802,20160802,20160802,1.4,6.8,12,90,110,20160826,20160826,90,222.5,52.99,,,,,,
127,ÃæÁÖ,2016-09,21.5,26.9,17.3,31.7,9.9,20160901,20160921,18.8,27.6,9.1,20160905,20160920,16.2,74,30,20160920,60.8,32.1,9.4,4.2,20160917,20160914,20160914,1.2,5.9,9.8,180,90,20160901,20160919,90,120.1,32.25,,,,,,
127,ÃæÁÖ,2016-10,14.8,20.5,10.4,29,-.9,20161004,20161030,12.9,27.1,3.3,20161003,20161030,10.1,76,20,20161013,102.6,26.5,13.5,6.4,20161025,20161003,20161003,1.2,5.4,10.3,270,160,20161008,20161002,110,104.8,30.07,,,,,,
127,ÃæÁÖ,2016-11,5.9,12.2,.2,22.5,-7.6,20161114,20161125,6.7,15.2,1.8,20161114,20161124,0,69,24,20161124,22.9,6.6,,,20161110,,,1.2,5.5,9.6,290,270,20161111,20161111,90,129.9,42.4,,,,,,
127,ÃæÁÖ,2016-12,.6,6.4,-4.5,15.6,-11.2,20161222,20161216,4.6,14.8,1.3,20161222,20161216,-4.7,70,17,20161201,42.4,15.9,,,20161221,,,1.3,6.3,10.2,110,250,20161221,20161222,270,128.3,42.75,,,,,,
127,ÃæÁÖ,2017-01,-2.5,3.4,-8,13.3,-16,20170108,20170124,3.4,7.1,.9,20170102,20170114,-8.9,64,20,20170114,18,7.9,,,20170129,,,1.4,5.6,9.7,290,290,20170114,20170114,270,171.3,55.45,,,,,,
127,ÃæÁÖ,2017-02,-.2,5.9,-6.1,13.8,-11.9,20170216,20170202,3.5,10.6,1.3,20170217,20170210,-8.1,59,16,20170218,36.2,17.3,,,20170222,,,1.6,6.5,10,270,270,20170220,20170223,270,200.7,66.08,,,,,,
127,ÃæÁÖ,2017-03,5.5,12.5,-1.1,19.6,-6.8,20170319,20170308,4.4,9.3,1.4,20170331,20170307,-4.9,52,13,20170319,22.5,10,,,20170325,,,1.6,7.8,11.8,270,290,20170309,20170309,270,223.8,60.29,,,,,,
127,ÃæÁÖ,2017-04,13.5,21,6.1,28.8,.3,20170430,20170403,7.4,15.8,2.4,20170406,20170412,2,52,11,20170410,71.4,19.3,7,5.4,20170417,20170401,20170401,1.8,7.1,10.9,270,270,20170428,20170428,270,245.3,62.15,,,,,,
127,ÃæÁÖ,2017-05,18.7,26.4,11.1,31.7,5.9,20170529,20170508,10.9,18.4,3.4,20170524,20170507,7.8,54,12,20170506,32.2,9.4,9.4,8.2,20170513,20170513,20170513,1.8,7.6,11.7,270,290,20170506,20170506,270,294.4,67.06,,,,,,
127,ÃæÁÖ,2017-06,22.4,29.4,15.9,34,9.6,20170623,20170604,14.6,24.4,5.8,20170628,20170610,12,56,16,20170611,43.7,27.4,16.3,5.1,20170628,20170628,20170628,1.7,6.1,9.4,250,230,20170609,20170609,90,258.4,58.71,,,,,,
127,ÃæÁÖ,2017-07,26.3,30.5,23.1,34.2,19.2,20170720,20170727,26.3,33.6,14.4,20170725,20170705,21.8,79,28,20170705,464.3,89,75.4,16.6,20170731,20170731,20170731,1.2,6.1,9.8,270,250,20170714,20170714,90,112,25.06,,,,,,
127,ÃæÁÖ,2017-08,25.1,29.6,21.3,36.3,13.4,20170805,20170831,23.6,34.4,9.5,20170823,20170826,19.9,75,25,20170826,257.9,57.6,31.2,13.4,20170823,20170824,20170824,1.4,6.2,11.2,110,160,20170806,20170806,90,161.8,38.52,,,,,,
127,ÃæÁÖ,2017-09,19.6,26.2,14.2,29.6,7.1,20170903,20170929,16.1,22.7,5.5,20170910,20170929,13.8,72,21,20170903,62.4,27,27,14.4,20170919,20170919,20170919,1.1,8.2,14.8,230,250,20170919,20170919,90,207.1,55.57,,,,,,
127,ÃæÁÖ,2017-10,14.3,21,9.2,27.4,-2.4,20171009,20171031,11.9,20.9,3,20171011,20171030,8.7,72,19,20171030,21.2,7.4,3.7,1.4,20171002,20171011,20171011,1.1,6.5,14.6,270,110,20171029,20171022,90,171.9,49.28,,,,,,
127,ÃæÁÖ,2017-11,4.4,11,-1.5,20.2,-9.2,20171107,20171119,5.6,14,1.2,20171108,20171130,-2.7,64,16,20171130,17.6,7,,,20171126,,,1.4,6.8,10.9,290,290,20171115,20171110,90,170.3,55.53,,,,,,
127,ÃæÁÖ,2017-12,-2.8,2.6,-7.9,10.3,-14.5,20171223,20171213,3.2,7.2,.9,20171210,20171227,-10.1,60,17,20171227,25.5,12.7,,,20171224,,,1.5,8,12.3,270,290,20171211,20171211,270,169.8,56.6,,,,,,
127,ÃæÁÖ,2018-01,-4.7,.4,-9.3,8.6,-19.2,20180115,20180112,2.9,7.4,.5,20180117,20180124,-12,60,16,20180121,14.3,6.4,,,20180117,,,1.4,6.5,10.6,290,290,20180123,20180123,270,162.1,52.49,,,,,,
127,ÃæÁÖ,2018-02,-2.5,4.2,-9.1,12.1,-17.4,20180227,20180207,2.5,7.1,.8,20180228,20180207,-12.9,48,12,20180215,35.8,33.7,,,20180228,,,1.7,7.1,11.1,250,270,20180214,20180214,270,195.8,64.51,,,,,,
127,ÃæÁÖ,2018-03,7.5,14.3,1.3,23,-7.5,20180314,20180302,6.2,15.7,2.1,20180315,20180302,-.6,61,19,20180312,75.1,24,,,20180319,,,1.8,7.4,12.8,70,50,20180305,20180305,90,197.9,53.34,,,,,,
127,ÃæÁÖ,2018-04,12.8,20.2,5.7,30,-1.5,20180420,20180408,8,16.8,2.2,20180404,20180407,2.9,57,8,20180421,107.9,33.1,7.6,2.3,20180423,20180404,20180414,1.9,7.3,13,270,270,20180407,20180406,90,215.3,54.59,,,,,,
127,ÃæÁÖ,2018-05,17.9,24.3,11.6,30.7,4.9,20180526,20180504,13.6,29.8,4.3,20180517,20180504,10.7,68,16,20180505,180,42.7,31,17.6,20180518,20180518,20180518,1.6,8.5,13.6,270,270,20180504,20180504,90,206.5,47.08,,,,,,
127,ÃæÁÖ,2018-06,22.7,29,17.3,33.3,13,20180625,20180603,16.9,29.7,8.1,20180626,20180602,14.6,64,17,20180622,63.7,59.6,14.4,6.1,20180626,20180626,20180626,1.6,5.2,9.1,90,230,20180609,20180626,90,225.6,51.27,,,,,,
127,ÃæÁÖ,2018-07,27.2,32.8,22.9,37.6,16.5,20180731,20180708,25.1,34.2,12.2,20180728,20180708,20.9,71,32,20180729,149.1,80.4,27.3,9.3,20180701,20180701,20180701,1.5,6.9,10.1,360,70,20180729,20180706,90,246.2,55.04,,,,,,
127,ÃæÁÖ,2018-08,27.6,33.4,23.2,40,17.6,20180801,20180818,24.9,34.6,13.3,20180806,20180816,20.8,70,27,20180815,353.3,134.2,38.7,15.2,20180828,20180828,20180828,1.6,6.2,9.8,110,140,20180824,20180823,90,195.4,46.49,,,,,,
127,ÃæÁÖ,2018-09,19.9,25.9,14.7,29.8,7.3,20180903,20180925,16.7,27.1,7,20180903,20180924,14.3,73,26,20180924,184.9,125.7,63.1,17.6,20180903,20180903,20180903,1.5,6.2,9.5,270,270,20180930,20180930,90,185.8,49.81,,,,,,
127,ÃæÁÖ,2018-10,11.1,18.4,5.4,25.8,-1.3,20181004,20181030,9.9,19.1,4.3,20181005,20181030,6.3,76,25,20181021,96,37.8,7.6,4.3,20181005,20181018,20181018,1.3,7.3,12.9,90,70,20181006,20181006,90,186.9,53.57,,,,,,
127,ÃæÁÖ,2018-11,5.9,13.2,.4,19.6,-5.6,20181104,20181123,6.9,16.8,1.8,20181108,20181123,.8,74,18,20181123,50,34.4,,,20181108,,,1,7.2,13.5,250,290,20181108,20181108,90,160.3,52.23,,,,,,
127,ÃæÁÖ,2018-12,-1.8,4.3,-6.9,14.5,-14.8,20181202,20181231,3.8,13.8,.6,20181204,20181227,-8.9,63,13,20181227,39,16.7,,,20181204,,,1.2,6.4,10.3,250,270,20181227,20181223,90,170.5,56.83,,,,,,
127,ÃæÁÖ,2019-01,-2.6,4.4,-8.6,8.6,-13.2,20190119,20190109,2.8,5.7,1.2,20190128,20190116,-10.9,56,14,20190124,4.1,4,,,20190128,,,1.3,6.8,10.4,250,270,20190128,20190115,90,204.4,66.23,,,,,,
127,ÃæÁÖ,2019-02,.4,6.5,-5.2,13.2,-11.6,20190223,20190201,3.8,9.5,1,20190203,20190209,-7.7,59,15,20190207,29,16.4,,,20190203,,,1.2,5.4,9.3,270,270,20190201,20190201,270,182.4,60.12,,,,,,
127,ÃæÁÖ,2019-03,6,13,-.5,19.7,-5.4,20190327,20190314,5.3,12.9,1.9,20190321,20190313,-2.4,59,14,20190319,27.9,9,,,20190320,,,1.5,7.4,14.4,270,270,20190313,20190313,270,200.7,54.13,,,,,,
127,ÃæÁÖ,2019-04,11.4,18.2,4.5,28.7,-3.6,20190422,20190402,7.6,17.6,2.3,20190424,20190401,1.6,57,12,20190417,58.5,22.8,5.6,1.3,20190409,20190409,20190426,1.6,7.3,14.7,90,50,20190409,20190409,90,203.4,51.59,,,,,,
127,ÃæÁÖ,2019-05,18.3,26.5,10,33.5,2.7,20190524,20190507,10.6,20.9,2.7,20190527,20190506,7.1,54,9,20190505,15.4,9.9,3.4,1.8,20190527,20190527,20190520,1.7,6.9,12.5,270,270,20190521,20190520,90,298.6,68.11,,,,,,
127,ÃæÁÖ,2019-06,21.7,27.7,16.1,32.8,9.5,20190625,20190601,17.2,27.4,8.7,20190628,20190602,14.9,68,21,20190602,59.6,33.4,12.6,4,20190607,20190607,20190607,1.3,6.3,11.9,340,320,20190615,20190615,90,211.9,48.17,,,,,,
127,ÃæÁÖ,2019-07,25,29.9,20.9,34.9,15.3,20190705,20190703,23.6,33.2,14.1,20190728,20190707,19.8,75,28,20190705,161.4,33.1,19.8,11.3,20190725,20190714,20190725,1.4,5.9,10.7,90,70,20190707,20190720,90,138.4,30.93,,,,,,
127,ÃæÁÖ,2019-08,26,31.1,21.7,35.5,16.6,20190805,20190831,25.3,33.2,16.1,20190804,20190830,21.1,77,37,20190823,102.6,54.3,15.6,6.1,20190807,20190807,20190807,1.3,5.8,14.4,250,270,20190817,20190817,90,211.4,50.29,,,,,,
127,ÃæÁÖ,2019-09,21.1,26.3,16.6,31.5,10.8,20190910,20190924,20,29.5,9.7,20190910,20190918,17.2,80,28,20190918,165.9,60.6,57.8,21.1,20190905,20190905,20190905,1.2,10.2,16.8,70,70,20190922,20190922,90,131.2,35.15,,,,,,
127,ÃæÁÖ,2019-10,14.2,20.5,8.8,27,1.1,20191004,20191030,12.6,24.9,6.2,20191001,20191027,9.9,78,27,20191008,59,36.4,7.8,3,20191002,20191003,20191002,1.2,9.4,18.2,90,90,20191003,20191002,90,178.1,50.99,,,,,,
127,ÃæÁÖ,2019-11,6.2,13.4,.3,20.2,-5.9,20191101,20191120,7.4,14.6,1.7,20191118,20191114,1.6,76,20,20191120,84.6,40,,,20191117,,,1.1,8.5,13.4,90,90,20191117,20191117,90,162.8,53.01,,,,,,
127,ÃæÁÖ,2019-12,-.1,5.3,-4.6,13.7,-11.7,20191216,20191206,4.7,10.4,1.2,20191217,20191205,-4.4,75,18,20191205,27.5,10.1,,,20191229,,,1,6.3,12,270,270,20191202,20191231,90,138.6,46.2,,,,,,
127,ÃæÁÖ,2020-01,.6,6.2,-3.9,13.8,-9.7,20200107,20200101,4.7,14.5,1.9,20200107,20200101,-4.2,72,25,20200121,60.2,48,,,20200107,,,1.2,7.5,12.6,250,270,20200108,20200108,90,142.8,46.29,,,,,,
127,ÃæÁÖ,2020-02,1.8,7.7,-3.5,15.6,-13,20200215,20200206,5,10.3,1.5,20200213,20200205,-3.9,69,20,20200224,61.9,29.4,,,20200225,,,1.3,9.3,16.3,270,270,20200222,20200222,270,178.7,56.82,,,,,,
127,ÃæÁÖ,2020-03,7,14.2,-.2,22.1,-6.2,20200326,20200306,5.7,15.3,2.6,20200327,20200306,-1.8,58,14,20200324,20.7,12.7,,,20200310,,,1.6,8.4,16.8,270,270,20200319,20200319,270,240.5,64.74,,,,,,
127,ÃæÁÖ,2020-04,10.2,17.7,2.7,25.6,-3.1,20200430,20200405,6.1,15.1,1.6,20200430,20200408,-.9,51,9,20200408,25.9,13.4,5.8,4.4,20200419,20200418,20200417,2,8.7,17.9,270,270,20200425,20200425,270,273.2,69.15,,,,,,
127,ÃæÁÖ,2020-05,17.8,24,11.9,29.6,5,20200501,20200520,13.4,19.9,4.5,20200517,20200508,10.8,68,17,20200506,109.7,53.7,28.9,20.6,20200518,20200518,20200518,1.5,7,14.6,90,270,20200518,20200518,90,213.6,48.64,,,,,,
127,ÃæÁÖ,2020-06,23.4,29.2,18.3,34.4,11.6,20200622,20200602,19.6,26.6,8.7,20200614,20200601,17,70,25,20200623,112.1,31,12.8,5,20200610,20200630,20200630,1.4,6.9,12.1,140,70,20200602,20200630,90,201.7,45.83,,,,,,
127,ÃæÁÖ,2020-07,23.1,27.3,19.6,32.4,16.7,20200708,20200702,22.5,30.2,15.5,20200731,20200703,19.3,81,41,20200709,352.2,82.3,26.4,12.7,20200729,20200730,20200729,1.5,7.9,14.1,90,90,20200710,20200723,90,106.3,23.78,,,,,,
127,ÃæÁÖ,2020-08,26.1,30.4,22.9,34.5,20.7,20200825,20200807,28.2,34,22.7,20200829,20200807,23,85,46,20200825,505.6,84.2,38.1,15.5,20200803,20200805,20200828,1.2,5.7,11.5,200,110,20200806,20200827,90,120,28.58,,,,,,
127,ÃæÁÖ,2020-09,19.6,24.9,15.3,30.2,10.1,20200901,20200929,17.7,28.9,10.2,20200902,20200920,15.3,78,30,20200920,146.4,46,13.5,7.8,20200903,20200909,20200909,1.5,8.2,16.3,250,250,20200903,20200903,90,172.4,46.29,,,,,,
127,ÃæÁÖ,2020-10,11.8,19.3,5.6,24.6,-1.5,20201001,20201024,10.1,20.1,3.7,20201003,20201024,6.5,74,22,20201029,10.7,10.4,3.5,1,20201003,20201003,20201003,1.1,4.9,8.7,290,270,20201024,20201024,90,220.9,63.39,,,,,,
127,ÃæÁÖ,2020-11,6.5,13.1,.8,23.4,-6,20201119,20201130,6.9,20,1.6,20201119,20201108,.3,69,9,20201108,30,19.9,,,20201119,,,1.3,6.5,13.3,270,180,20201103,20201119,90,172.9,56.43,,,,,,
127,ÃæÁÖ,2020-12,-2.7,3.6,-7.9,11.3,-17,20201228,20201217,3.5,7.1,1.1,20201228,20201231,-8.5,67,23,20201219,11.1,8.1,,,20201213,,,1.1,5.8,10.7,270,250,20201230,20201230,90,179,59.65,,,,,,
127,ÃæÁÖ,2021-01,-3.6,2.7,-9.6,13.3,-19.6,20210125,20210109,3.4,9.3,.6,20210122,20210107,-10,64,21,20210129,13.6,4.9,,,20210121,,,1.4,8.3,14.9,270,290,20210128,20210128,270,179.7,58.17,,,,,,
127,ÃæÁÖ,2021-02,1.7,8.4,-4.7,22.3,-11.9,20210221,20210203,4.1,9.7,1.2,20210201,20210217,-6.5,58,12,20210224,12.3,7.5,,,20210201,,,1.7,7.7,13.6,250,270,20210221,20210221,270,197.3,67.38,,,,,,
127,ÃæÁÖ,2021-03,8.1,14.9,1.8,23.2,-3.1,20210331,20210303,6.5,14.9,2.2,20210328,20210331,.4,64,8,20210331,80.5,48,,,20210301,,,1.6,6.9,12.8,270,250,20210321,20210321,90,213.9,57.62,,,,,,
127,ÃæÁÖ,2021-04,13.1,19.7,6.3,29.4,0,20210421,20210415,7.7,15.8,3.9,20210403,20210415,2.7,54,10,20210421,63.4,36.4,9.1,2.7,20210403,20210403,20210403,1.9,9.9,17.5,230,230,20210430,20210430,90,227.9,57.74,,,,,,
127,ÃæÁÖ,2021-05,16.2,22.2,10.3,30,3.2,20210514,20210506,12.8,25,4.4,20210516,20210505,9.9,71,20,20210509,178.4,54.9,13.3,7,20210516,20210531,20210531,1.6,7.5,14.8,250,230,20210508,20210508,90,192.9,43.94,,,,,,
127,ÃæÁÖ,2021-06,22.1,27.6,17.3,31.6,11.5,20210609,20210605,19.1,25,10.5,20210630,20210604,16.6,73,30,20210608,130.4,42.3,24.9,17.5,20210629,20210629,20210629,1.4,5.5,11,250,200,20210620,20210611,90,194.6,44.22,,,,,,
127,ÃæÁÖ,2021-07,26.4,31.7,21.9,34.7,19.8,20210727,20210701,25.8,32.2,17.6,20210713,20210701,21.6,77,35,20210728,310.7,85.4,46.4,27.8,20210708,20210711,20210711,1.3,9.4,20,360,360,20210711,20210711,90,226.8,50.74,,,,,,
127,ÃæÁÖ,2021-08,24.4,28.8,20.9,34.9,17.8,20210806,20210815,24.3,32.8,16.9,20210806,20210819,20.5,80,44,20210806,239.9,45.9,21.4,15.8,20210801,20210806,20210806,1.3,6.5,14.6,270,230,20210806,20210806,90,143.1,34.07,,,,,,
127,ÃæÁÖ,2021-09,21,26,16.3,29.1,12.7,20210911,20210916,19.1,24.9,13.5,20210929,20210915,16.6,78,32,20210919,240.3,111.5,21.7,6.8,20210901,20210901,20210901,1.4,5.9,11.1,70,90,20210915,20210915,90,185.5,49.77,,,,,,
127,ÃæÁÖ,2021-10,13.8,20.3,9,30.1,-1.3,20211003,20211018,13.2,23.5,3.5,20211010,20211017,9.9,80,28,20211017,45.5,13.6,8.7,7.3,20211016,20211002,20211001,1,5.3,13.5,250,250,20211001,20211001,90,176.9,50.73,,,,,,
127,ÃæÁÖ,2021-11,6.4,13.2,1.1,20.5,-5.2,20211106,20211128,7.3,12.9,2.9,20211108,20211123,1.8,75,30,20211116,44.9,20.5,,,20211130,,,1.2,7.1,13.6,290,270,20211122,20211130,90,156.6,51.08,82.19,,,,,
127,ÃæÁÖ,2021-12,-.5,5.3,-5.7,11.6,-15.3,20211206,20211227,4.4,9.8,.8,20211210,20211226,-6.2,69,20,20211226,5.6,2.1,,,20211203,,,1.2,8.3,15.8,250,320,20211217,20211217,270,165.6,55.2,239.22,,,,,
127,ÃæÁÖ,2022-01,-3.4,3,-9.4,9.1,-14.4,20220123,20220112,3,6.6,1.3,20220125,20220101,-10.2,62,23,20220114,2,.9,,,20220125,,,.9,6.4,11.8,250,270,20220113,20220113,90,204.5,66.22,293.83,,,,,
127,ÃæÁÖ,2022-02,-2,4.4,-8.2,11.6,-13.6,20220226,20220217,2.8,7.4,1,20220226,20220223,-11.1,53,13,20220212,4.3,2.8,2.6,1.2,20220226,20220226,20220226,1.6,7.2,12.7,270,270,20220221,20220206,270,222.9,73.44,365.92,,,,,
